Mean, Max, Min, Std
1.128048780487804909e-01,5.255999999999999561e-01,-4.384000000000000119e-01,2.023031792080096369e-01
4.276951219512195590e-02,2.586999999999999855e-01,-1.489999999999999936e-01,4.731536307256740959e-02
4.913902439024390306e-02,3.281000000000000028e-01,-8.250000000000000389e-02,7.268644278613339837e-02
